size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;11; 20;0,017293;
100000;14; 10;0,101918;
100000;18; 6;0,460086;
100000;13; 6;0,195734;
100000;16; 12;0,582927;
100000;16; 12;0,398962;
100000;0; 22;0,000000;
100000;12; 1;0,146499;
100000;14; 4;0,814452;
100000;16; 2;0,673781;
100000;17; 3;0,559907;
100000;11; 2;0,140841;
100000;15; 1;0,772608;
100000;0; 21;0,000000;
100000;20; 3;0,399738;
100000;18; 9;0,750317;
100000;11; 4;0,073189;
100000;16; 9;0,429221;
100000;15; 10;0,154289;
100000;0; 25;0,000000;
100000;0; 18;0,000000;
100000;15; 4;0,437617;
100000;0; 27;0,000000;
100000;18; 2;0,663014;
100000;11; 4;0,108031;
100000;0; 44;0,000000;
100000;13; 4;0,157715;
100000;0; 39;0,000000;
100000;14; 2;0,344484;
100000;16; 4;0,311303;
100000;18; 3;0,711662;
100000;16; 10;0,686189;
100000;14; 13;0,284377;
100000;0; 46;0,000000;
100000;19; 7;0,544517;
100000;16; 4;0,552836;
100000;17; 3;0,404558;
100000;17; 5;0,467121;
100000;0; 26;0,000000;
100000;10; 3;0,041193;
100000;17; 3;0,386292;
100000;14; 2;0,692103;
100000;17; 5;0,447774;
100000;14; 1;0,185492;
100000;0; 31;0,000000;
100000;14; 5;0,839327;
100000;15; 2;0,791187;
100000;18; 6;0,685059;
100000;13; 3;0,490989;
100000;17; 5;0,713063;
100000;9; 2;0,041249;
100000;15; 1;0,780228;
100000;12; 1;0,052469;
100000;12; 2;0,211272;
100000;0; 12;0,000000;
100000;0; 23;0,000000;
100000;14; 1;0,280818;
100000;0; 12;0,000000;
100000;0; 16;0,000000;
100000;14; 7;0,512245;
100000;14; 3;0,620786;
100000;14; 7;0,366560;
100000;16; 2;0,686939;
100000;14; 1;0,801150;
100000;19; 6;0,626509;
100000;16; 3;0,677989;
100000;14; 2;0,828751;
100000;0; 7;0,000000;
100000;20; 14;0,411371;
100000;16; 9;0,552836;
100000;0; 13;0,000000;
100000;14; 3;0,437440;
100000;0; 11;0,000000;
100000;0; 25;0,000000;
100000;0; 44;0,000000;
100000;0; 19;0,000000;
100000;16; 11;0,476601;
100000;17; 5;0,403060;
100000;0; 24;0,000000;
100000;0; 23;0,000000;
100000;15; 2;0,387726;
100000;13; 2;0,269451;
100000;0; 16;0,000000;
100000;12; 7;0,120870;
100000;13; 4;0,538097;
100000;0; 28;0,000000;
100000;11; 5;0,153221;
100000;13; 7;0,363431;
100000;0; 10;0,000000;
100000;15; 5;0,514416;
100000;14; 19;0,354618;
100000;11; 10;0,619267;
100000;11; 14;0,058216;
100000;15; 6;0,477248;
100000;11; 2;0,021917;
100000;0; 16;0,000000;
100000;14; 7;0,360397;
100000;0; 20;0,000000;
100000;0; 21;0,000000;
100000;12; 3;0,168163;
100000;12; 1;0,499314;
100000;0; 39;0,000000;
100000;15; 4;0,566619;
100000;17; 9;0,582509;
100000;14; 17;0,171310;
100000;11; 2;0,619267;
100000;13; 11;0,192205;
100000;10; 7;0,120842;
100000;0; 18;0,000000;
100000;12; 2;0,178516;
100000;14; 9;0,423219;
100000;10; 4;0,708911;
100000;0; 17;0,000000;
100000;10; 16;0,074045;
100000;12; 4;0,600887;
100000;13; 1;0,778310;
100000;16; 10;0,557208;
100000;12; 2;0,134479;
100000;12; 2;0,786703;
100000;15; 2;0,738158;
100000;13; 1;0,756296;
100000;10; 1;0,071671;
100000;11; 4;0,036906;
100000;13; 6;0,207051;
100000;0; 22;0,000000;
100000;0; 17;0,000000;
100000;11; 2;0,658387;
100000;12; 21;0,691012;
100000;14; 2;0,563281;
100000;0; 22;0,000000;
100000;11; 15;0,619267;
100000;16; 24;0,264822;
100000;0; 34;0,000000;
100000;9; 6;0,009095;
100000;14; 13;0,721976;
100000;14; 6;0,171310;
100000;0; 19;0,000000;
100000;0; 17;0,000000;
100000;13; 6;0,170374;
100000;13; 3;0,628802;
100000;14; 2;0,482281;
100000;14; 2;0,220768;
100000;0; 39;0,000000;
100000;11; 4;0,097434;
100000;12; 1;0,201767;
100000;15; 3;0,136074;
100000;15; 5;0,428679;
100000;12; 3;0,141121;
100000;17; 3;0,262360;
100000;12; 12;0,675404;
100000;14; 6;0,424106;
100000;8; 7;0,053393;
100000;11; 2;0,707620;
100000;12; 3;0,152839;
100000;12; 11;0,765507;
100000;15; 10;0,473250;
100000;14; 3;0,154684;
100000;14; 11;0,354618;
100000;12; 5;0,038316;
100000;15; 10;0,218150;
100000;14; 4;0,406847;
100000;0; 24;0,000000;
100000;11; 5;0,023507;
100000;15; 6;0,179010;
100000;13; 11;0,677332;
100000;13; 4;0,092774;
100000;0; 17;0,000000;
100000;12; 4;0,038316;
100000;0; 11;0,000000;
100000;15; 3;0,661906;
100000;12; 1;0,397472;
100000;13; 5;0,647981;
100000;0; 17;0,000000;
100000;13; 10;0,172709;
100000;15; 2;0,433367;
100000;0; 14;0,000000;
