size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;5; 1;0,079449;
100000;6; 4;0,034066;
100000;6; 3;0,047735;
100000;6; 5;0,002830;
100000;6; 3;0,001028;
100000;5; 4;0,008645;
100000;5; 2;0,040060;
100000;6; 2;0,079416;
100000;6; 3;0,018661;
100000;5; 3;0,015016;
100000;6; 3;0,005486;
100000;6; 3;0,018322;
100000;6; 3;0,013304;
100000;6; 2;0,010069;
100000;6; 3;0,007592;
100000;6; 2;0,022682;
100000;6; 3;0,000542;
100000;5; 2;0,032122;
100000;7; 2;0,004691;
100000;6; 3;0,013501;
100000;6; 2;0,005401;
100000;5; 2;0,029605;
100000;5; 3;0,007263;
100000;7; 2;0,063175;
100000;6; 2;0,025839;
100000;7; 1;0,004546;
100000;5; 3;0,032122;
100000;5; 2;0,008535;
100000;6; 2;0,004245;
100000;6; 2;0,039176;
100000;4; 3;0,028571;
100000;4; 4;0,000590;
100000;5; 1;0,175042;
100000;5; 2;0,046251;
100000;6; 3;0,002585;
100000;6; 2;0,042347;
100000;6; 3;0,033599;
100000;6; 3;0,034591;
100000;4; 3;0,003189;
100000;6; 3;0,017043;
100000;6; 2;0,001001;
100000;5; 2;0,129454;
100000;7; 2;0,061013;
100000;6; 4;0,008332;
100000;6; 4;0,003757;
100000;6; 4;0,019566;
100000;6; 2;0,003730;
100000;6; 1;0,054508;
100000;6; 3;0,049330;
100000;6; 2;0,010321;
100000;6; 2;0,032575;
100000;6; 4;0,037484;
100000;6; 3;0,006804;
100000;6; 2;0,036214;
100000;5; 2;0,012164;
100000;4; 2;0,014993;
100000;6; 2;0,079814;
100000;6; 2;0,000230;
100000;6; 1;0,026745;
100000;4; 2;0,024416;
100000;6; 2;0,087437;
100000;7; 2;0,000574;
100000;6; 2;0,008775;
100000;5; 2;0,021943;
100000;6; 2;0,007296;
100000;6; 2;0,013633;
100000;0; 3;0,000000;
100000;6; 2;0,021331;
100000;6; 3;0,019749;
100000;7; 2;0,060271;
100000;7; 4;0,037616;
100000;6; 2;0,016025;
100000;6; 2;0,078116;
100000;5; 2;0,038021;
100000;7; 3;0,009079;
100000;6; 4;0,025932;
100000;6; 2;0,012611;
100000;7; 3;0,080588;
100000;6; 1;0,086430;
100000;6; 2;0,013575;
100000;6; 3;0,004587;
100000;7; 2;0,032348;
100000;6; 1;0,008802;
100000;6; 2;0,018787;
100000;5; 2;0,072064;
100000;7; 4;0,014987;
100000;7; 2;0,001155;
