size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;7; 1;0,092211;
100000;6; 2;0,039681;
100000;9; 2;0,013346;
100000;7; 1;0,087204;
100000;7; 1;0,039591;
100000;7; 1;0,133609;
100000;8; 2;0,000571;
100000;7; 5;0,003622;
100000;9; 1;0,001588;
100000;2147483647; 1;0,478925;
100000;2147483647; 1;0,267600;
100000;9; 2;0,079841;
100000;8; 3;0,102612;
100000;11; 1;0,165091;
100000;9; 2;0,005448;
100000;8; 2;0,034990;
100000;9; 1;0,111864;
100000;10; 2;0,019992;
100000;8; 3;0,003411;
100000;7; 3;0,024383;
100000;8; 4;0,007004;
100000;8; 2;0,013088;
100000;8; 2;0,065572;
100000;8; 3;0,031770;
100000;8; 1;0,562946;
100000;9; 2;0,018476;
100000;7; 2;0,018058;
100000;7; 2;0,044069;
100000;8; 2;0,035980;
100000;8; 2;0,058220;
100000;7; 3;0,071250;
100000;7; 2;0,036350;
100000;9; 1;0,040572;
100000;9; 1;0,125485;
100000;8; 2;0,063594;
100000;8; 2;0,030383;
100000;9; 2;0,046062;
100000;2147483647; 1;0,372712;
100000;9; 1;0,151491;
100000;7; 2;0,021983;
100000;10; 2;0,041029;
100000;9; 1;0,495531;
100000;9; 3;0,010448;
100000;8; 2;0,070338;
100000;6; 3;0,010009;
100000;8; 1;0,109948;
100000;10; 3;0,122314;
100000;9; 3;0,029554;
100000;8; 1;0,024127;
100000;9; 2;0,032992;
100000;11; 1;0,067237;
100000;6; 1;0,305172;
100000;9; 2;0,003055;
100000;8; 2;0,010687;
100000;6; 2;0,022913;
100000;8; 2;0,100365;
100000;9; 1;0,243951;
100000;10; 1;0,057500;
100000;8; 1;0,080137;
100000;9; 1;0,507114;
100000;8; 2;0,096227;
100000;10; 3;0,009165;
100000;10; 1;0,196586;
100000;10; 3;0,017276;
100000;9; 2;0,008964;
100000;9; 4;0,068570;
100000;10; 1;0,019510;
100000;9; 3;0,067325;
100000;8; 3;0,053691;
100000;9; 3;0,003039;
100000;8; 2;0,019967;
100000;8; 4;0,017239;
100000;9; 3;0,029141;
100000;9; 2;0,025542;
100000;10; 1;0,101923;
100000;8; 3;0,036307;
100000;10; 2;0,021706;
100000;9; 1;0,004805;
100000;10; 2;0,052406;
100000;10; 2;0,030114;
100000;9; 2;0,108178;
100000;10; 3;0,021742;
100000;10; 2;0,067866;
100000;8; 2;0,052182;
100000;9; 1;0,316552;
100000;10; 2;0,132698;
100000;9; 3;0,035497;
100000;10; 3;0,099853;
100000;8; 2;0,048773;
100000;10; 2;0,213800;
100000;9; 1;0,604719;
100000;11; 1;0,033981;
100000;7; 2;0,030898;
100000;10; 2;0,045514;
100000;9; 2;0,038134;
100000;10; 2;0,039750;
100000;11; 1;0,437858;
100000;10; 2;0,034604;
100000;9; 3;0,024735;
100000;7; 3;0,005884;
100000;8; 2;0,084522;
100000;7; 2;0,079029;
100000;10; 2;0,000852;
100000;2147483647; 1;0,007742;
100000;11; 2;0,006768;
100000;10; 5;0,031386;
100000;8; 3;0,013379;
100000;10; 2;0,029562;
100000;10; 3;0,012868;
100000;9; 3;0,024843;
100000;8; 2;0,022189;
100000;10; 1;0,034275;
100000;9; 4;0,025542;
100000;8; 2;0,019150;
100000;10; 1;0,046107;
100000;8; 1;0,473457;
100000;9; 2;0,009931;
100000;11; 3;0,020557;
100000;7; 2;0,178395;
100000;9; 2;0,039449;
100000;7; 2;0,049024;
100000;9; 2;0,127407;
100000;9; 3;0,086945;
100000;9; 1;0,205095;
100000;10; 2;0,001731;
100000;6; 2;0,012024;
100000;9; 2;0,005463;
100000;7; 2;0,016497;
100000;10; 1;0,242094;
100000;8; 2;0,035998;
100000;8; 1;0,290161;
100000;2147483647; 1;0,299849;
100000;8; 2;0,026608;
100000;9; 1;0,010299;
100000;9; 3;0,033815;
100000;8; 2;0,005828;
100000;10; 4;0,143136;
100000;8; 2;0,021357;
100000;9; 1;0,062553;
100000;8; 2;0,041761;
100000;8; 2;0,028999;
100000;7; 1;0,025251;
100000;9; 2;0,106151;
100000;8; 2;0,092503;
100000;8; 2;0,066087;
100000;9; 3;0,030448;
100000;10; 2;0,089178;
100000;9; 1;0,081484;
100000;9; 2;0,041925;
100000;7; 2;0,064926;
100000;9; 2;0,049087;
100000;9; 1;0,021721;
100000;9; 4;0,009747;
100000;8; 2;0,035800;
100000;8; 3;0,028437;
100000;8; 1;0,060852;
100000;7; 2;0,067958;
100000;8; 2;0,028643;
100000;9; 2;0,028665;
100000;10; 1;0,100619;
100000;7; 3;0,071053;
